Preprocessing,RAFT,Visualization,Descriptor,Detection,Others,Total
1.190394878,0.044351339,0.046557188,0.090908527,0.173995972,0.036417246,1.491716623
1.268238306,0.05765605,0.042868137,0.100524187,0.192679405,0.038472891,1.599914789
1.141000032,0.045111656,0.05231142,0.097423077,0.181972036,0.034631253,1.445026398
1.140530586,0.044231653,0.042060137,0.08629179,0.177862186,0.033590079,1.418274641
1.291045904,0.044055223,0.055856466,0.09991169,0.190762997,0.033042193,1.614762783
1.116092443,0.052107573,0.048205376,0.100312948,0.174412966,0.033096076,1.423914433
1.116026163,0.04583621,0.052243233,0.098079443,0.186663628,0.03424573,1.435014963
1.016153097,0.045002222,0.046472311,0.091474533,0.170465469,0.035248995,1.313342094
1.115172386,0.050282955,0.050735235,0.10101819,0.184686918,0.03475523,1.415632725
1.115164042,0.047316551,0.044168949,0.0914855,0.176347256,0.034284353,1.417281151
1.115214825,0.044771671,0.055579185,0.100350857,0.180632591,0.035662889,1.431861162
1.039513588,0.046927929,0.053497314,0.100425243,0.173062801,0.034906387,1.34790802
1.040706873,0.044071436,0.046998024,0.09106946,0.172966013,0.034844637,1.329586983
1.092474699,0.046587229,0.053301096,0.099888325,0.195004244,0.032887459,1.400254726
1.06526351,0.050093651,0.035619736,0.085713387,0.266066074,0.056077003,1.473119974
1.197919846,0.065787315,0.037659645,0.10344696,0.256763935,0.055511474,1.613642216
1.142019272,0.045862436,0.043923855,0.089786291,0.182707548,0.033030748,1.447543859
1.140624523,0.049520969,0.037314892,0.086835861,0.191666145,0.033801556,1.432928085
1.015506744,0.04454565,0.056491375,0.101037025,0.189005852,0.033094883,1.338644505
1.142650366,0.045034647,0.055119514,0.100154161,0.177944183,0.033087492,1.453836203
1.140390635,0.045055151,0.051414013,0.096469164,0.182372808,0.038093566,1.457326174
1.015699625,0.044670105,0.055245876,0.099915981,0.17329812,0.034669399,1.323583126
1.142229795,0.045778036,0.046841145,0.092619181,0.17606473,0.033432723,1.444346428
0.915047884,0.046031952,0.054557562,0.100589514,0.174421787,0.034093142,1.224152327
0.939679861,0.045196533,0.054978848,0.100175381,0.166992188,0.033708572,1.240556002
0.964432955,0.044315815,0.039730787,0.084046602,0.189021606,0.034101009,1.251602173
1.06581521,0.043999672,0.056280613,0.100280285,0.173153162,0.034016133,1.37326479
0.972474575,0.044573069,0.04675889,0.091331959,0.173745632,0.035547495,1.273099661
1.065058708,0.044031858,0.042932987,0.086964846,0.17721797,0.033541203,1.352782726
0.989727259,0.045668125,0.057787895,0.10345602,0.184415827,0.035660505,1.303259611
,,,,,,
1.090408953,0.046716213,0.049188317,0.09590453,0.185545735,0.035406127,1.456555693
