Preprocessing,RAFT,VIS,Descriptor,Detection,Others,Total
0.965181351,0.072004795,0.092311382,0.164316177,0.483221054,0.037029266,1.649747849
0.940454006,0.072240591,0.08703208,0.159272671,0.497327089,0.037936211,1.634989977
0.967046738,0.102984667,0.119709253,0.22269392,0.512788773,0.035851479,1.738380909
0.965647936,0.072869301,0.089289665,0.162158966,0.518712997,0.035614252,1.682134151
0.939075232,0.071813583,0.088077307,0.15989089,0.525249481,0.036089659,1.660305262
1.115821838,0.119835138,0.121299028,0.241134167,0.480000973,0.035791159,1.872748137
1.219920158,0.112307549,0.12370348,0.236011028,0.50805521,0.037348747,2.001335144
1.118264437,0.072402954,0.085214853,0.157617807,0.491889,0.038169861,1.805941105
1.090246916,0.072659254,0.086462736,0.15912199,0.488838434,0.038208008,1.776415348
1.166477203,0.115679264,0.105947256,0.22162652,0.542473316,0.038456202,1.969033241
1.266543627,0.106916189,0.121133089,0.228049278,0.480206013,0.037506819,2.012305737
1.090433121,0.075507879,0.08398056,0.15948844,0.508808374,0.038651705,1.797381639
1.141587973,0.072846413,0.087613344,0.160459757,0.50061655,0.03869772,1.841362
1.090747595,0.105214834,0.11109066,0.216305494,0.492990255,0.040120602,1.840163946
1.090715885,0.073709011,0.083954096,0.157663107,0.504284143,0.044722795,1.797385931
1.090649128,0.071345568,0.083771229,0.155116796,0.504709005,0.036830187,1.787305117
1.09278965,0.114486933,0.106409073,0.220896006,0.625807047,0.037988663,1.977481365
1.120513916,0.302520037,0.050107718,0.352627754,0.736865997,0.066368818,2.276376486
1.047282219,0.120508432,0.115550995,0.236059427,0.511660576,0.039441109,1.834443331
1.092831373,0.077179432,0.095945835,0.173125267,0.717382908,0.047976971,2.031316519
,,,,,,
1.080611515,0.100251591,0.096930182,0.197181773,0.53159436,0.039940012,1.84932766
