Preprocessing,RAFT,VIS,Descriptor,detection,others,total
0.989915133,0.052966118,0.066093206,0.119059324,0.362253428,0.034740686,1.505968571
1.041334629,0.093259335,0.096380949,0.189640284,0.340705872,0.034447193,1.606127977
1.116377115,0.089480162,0.100553274,0.190033436,0.344046593,0.042298317,1.692755461
0.96407795,0.058029175,0.064465284,0.122494459,0.32468152,0.034700632,1.445954561
0.965688705,0.0931499,0.097111702,0.190261602,0.336405993,0.033947706,1.526304007
1.142291546,0.093215466,0.081967115,0.175182581,0.329536915,0.036088943,1.683099985
1.292282343,0.093216181,0.09626174,0.189477921,0.325823069,0.036607742,1.844191074
1.115405083,0.080669641,0.084517002,0.165186644,0.3592062,0.038109779,1.677907705
1.091312408,0.055091143,0.062811375,0.117902517,0.333017349,0.040681124,1.582913399
1.091330528,0.085668564,0.097266436,0.182934999,0.368514299,0.037165403,1.67994523
1.218474627,0.093705893,0.097083569,0.190789461,0.388122797,0.040958881,1.838345766
1.093223333,0.054492235,0.063080072,0.117572308,0.363157511,0.036668539,1.610621691
1.115797997,0.093225718,0.083131313,0.176357031,0.350303888,0.055871248,1.698330164
1.100640059,0.078131437,0.10316968,0.181301117,0.428660154,0.038200855,1.748802185
1.091518164,0.074890375,0.079878807,0.154769182,0.345477104,0.038301468,1.630065918
1.091748953,0.053593874,0.064040422,0.117634296,0.358551264,0.036387444,1.604321957
1.243602037,0.09330225,0.097281933,0.190584183,0.368218899,0.040565014,1.842970133
1.090236664,0.064802885,0.069373608,0.134176493,0.35327673,0.041882992,1.619572878
1.066576242,0.06895113,0.091391325,0.160342455,0.330477238,0.03641367,1.593809605
1.09049201,0.06844759,0.07501483,0.14346242,0.341343403,0.039818764,1.615116596
,,,,,,
1.100616276,0.076914454,0.083543682,0.160458136,0.352589011,0.03869282,1.652356243
