Preprocessing,RAFT,Vis,Descriptor,Detection,Others,Total
0.611193419,0.049102783,0.023420334,0.072523117,0.443161249,0.031974554,1.158852339
0.689823866,0.063066483,0.068326235,0.131392717,0.42221427,0.027485371,1.270916224
0.560136795,0.046770334,0.05232811,0.099098444,0.418186903,0.028539658,1.1059618
1.516879082,0.062917233,0.068662167,0.131579399,0.431690931,0.027064562,2.107213974
0.662353516,0.046894312,0.053408623,0.100302935,0.411997318,0.029525995,1.204179764
0.66394043,0.063951731,0.068138361,0.132090092,0.421399593,0.027179718,1.244609833
0.661353827,0.04703474,0.048175812,0.095210552,0.471060753,0.026187658,1.25381279
0.761645317,0.062986135,0.068814993,0.131801128,0.532023191,0.045226812,1.470696449
0.666634321,0.066871166,0.038434982,0.105306149,0.637290478,0.044409275,1.453640223
0.636060953,0.047605515,0.05248332,0.100088835,0.432180882,0.027295828,1.195626497
0.663428783,0.063218594,0.068547964,0.131766558,0.453517199,0.02774787,1.276460409
0.786824942,0.0629251,0.068596363,0.131521463,0.413362741,0.027311563,1.35902071
0.687329054,0.046895266,0.052514553,0.099409819,0.440062046,0.028492927,1.255293846
0.66161561,0.048616409,0.052062273,0.100678682,0.441241026,0.028620958,1.232156277
0.661948919,0.062907219,0.068195343,0.131102562,0.420309544,0.02652359,1.239884615
1.014169216,0.063854218,0.06797576,0.131829977,0.453665257,0.027842522,1.627506971
1.088849306,0.063276052,0.067875862,0.131151915,0.425097466,0.02840972,1.673508406
0.661031485,0.045048475,0.051532745,0.096581221,0.471752644,0.027117729,1.256483078
0.686354637,0.058556557,0.068578005,0.127134562,0.422833204,0.027416229,1.263738632
0.636334181,0.04945755,0.054910421,0.104367971,0.420461655,0.028865814,1.190029621
,,,,,,
0.748895383,0.056097794,0.058149111,0.114246905,0.449175418,0.029661918,1.341979623
